short_win,long_win,start_evaluation,end_evaluation,returns,volatility,sharpe,sortino,maxDD_level,DD_level_start,DD_level_end,DD_level_length,maxDD_duration,DD_duration_start,DD_duration_end,DD_duration_length,ETL_5,ETL_1
25,50,2011-05-12,2011-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2011-04-12,2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2011-03-13,2011-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2011-02-11,2011-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2011-01-12,2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-12-13,2011-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-11-13,2010-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-10-14,2010-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-09-14,2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-08-15,2010-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-07-16,2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-06-16,2010-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-05-17,2010-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-04-17,2010-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-03-18,2010-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,2010-02-16,2010-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-12-02,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-11-02,2012-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-10-03,2012-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-09-03,2012-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-08-04,2012-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-07-05,2012-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-06-05,2012-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-05-06,2012-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-04-06,2012-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-03-07,2012-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-02-06,2012-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2012-01-07,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-12-08,2012-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-11-08,2011-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-10-09,2011-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-09-09,2011-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-08-10,2011-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-07-11,2011-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-06-11,2011-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-05-12,2011-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-04-12,2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-03-13,2011-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-02-11,2011-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2011-01-12,2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-12-13,2011-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-11-13,2010-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-10-14,2010-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-09-14,2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-08-15,2010-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-07-16,2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-06-16,2010-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-05-17,2010-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-04-17,2010-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-03-18,2010-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,2010-02-16,2010-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-12-02,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-11-02,2012-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-10-03,2012-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-09-03,2012-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-08-04,2012-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-07-05,2012-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-06-05,2012-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-05-06,2012-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-04-06,2012-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-03-07,2012-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-02-06,2012-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2012-01-07,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-12-08,2012-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-11-08,2011-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-10-09,2011-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-09-09,2011-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-08-10,2011-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-07-11,2011-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-06-11,2011-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-05-12,2011-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-04-12,2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-03-13,2011-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-02-11,2011-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2011-01-12,2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-12-13,2011-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-11-13,2010-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-10-14,2010-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-09-14,2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-08-15,2010-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-07-16,2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-06-16,2010-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-05-17,2010-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-04-17,2010-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-03-18,2010-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,50,2010-02-16,2010-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-12-02,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-11-02,2012-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-10-03,2012-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-09-03,2012-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-08-04,2012-09-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-07-05,2012-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-06-05,2012-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-05-06,2012-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-04-06,2012-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-03-07,2012-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-02-06,2012-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2012-01-07,2012-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-12-08,2012-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-11-08,2011-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-10-09,2011-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-09-09,2011-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-08-10,2011-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-07-11,2011-08-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-06-11,2011-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-05-12,2011-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-04-12,2011-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-03-13,2011-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-02-11,2011-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2011-01-12,2011-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-12-13,2011-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-11-13,2010-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-10-14,2010-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-09-14,2010-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-08-15,2010-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-07-16,2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-06-16,2010-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-05-17,2010-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-04-17,2010-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-03-18,2010-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,100,2010-02-16,2010-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
